x,y,yDot,yDDot
2.71,0.86918855,-8.951043,-45.971043
2.72,0.77792305,-9.247728,-13.366139
2.73,0.685321,-9.218366,19.238764
2.74,0.59464276,-8.862954,51.84367
2.75,0.5091489,-8.181493,84.44857
2.76,0.43182576,-7.2839932,87.61851
2.77,0.3632539,-6.441681,80.84418
2.78,0.30276644,-5.6671114,74.06985
2.79,0.24968597,-4.960285,67.295525
2.8,0.20333503,-4.3212023,60.521194
2.81,0.1630362,-3.7498624,53.746864
2.82,0.12811205,-3.246266,46.972538
2.83,0.09788514,-2.8104126,40.19821
2.84,0.07167804,-2.4423025,33.423885
2.85,0.048813324,-2.1419356,26.649555
2.86,0.028582845,-1.9235655,15.465399
2.87,0.009893878,-1.836891,1.8695117
2.88,-0.008608587,-1.8861781,-11.7267
2.89,-0.028283281,-2.0714245,-25.322586
2.9,-0.05049023,-2.3926294,-38.918472
2.91,-0.07658902,-2.8497932,-52.514362
2.92,-0.107939236,-3.4429157,-66.110245
2.93,-0.14590046,-4.171997,-79.70614
2.94,-0.19183229,-5.037037,-93.302025
2.95,-0.2470943,-6.0380354,-106.89791
2.96,-0.31294057,-7.1169558,-99.213615
2.97,-0.38864708,-7.9820037,-73.79615
2.98,-0.47173324,-8.592877,-48.378677
2.99,-0.5596572,-8.949576,-22.961212
3.0,-0.6498773,-9.052101,2.4562566
3.01,-0.73985183,-8.900452,27.873724
3.02,-0.82703894,-8.494627,53.29119
3.03,-0.908897,-7.8346286,78.708664
3.04,-0.9828841,-6.9204555,104.12613
3.05,-1.0464587,-5.7521076,129.5436
3.06,-1.0971282,-4.362843,139.9951
3.07,-1.1338944,-3.0041752,131.73875
3.08,-1.1574868,-1.7280705,123.48241
3.09,-1.168731,-0.5345294,115.22606
3.1,-1.1684526,0.57644844,106.96971
3.11,-1.1574773,1.6048628,98.71336
3.12,-1.1366307,2.5507138,90.457016
3.13,-1.1067375,3.414021,82.20047
3.14,-1.0686249,4.194743,73.94412
3.15,-1.0231179,4.892902,65.687775
3.16,-0.9710577,5.494896,49.510777
3.17,-0.91415524,5.8334093,18.191961
3.18,-0.8554336,5.8587346,-13.126853
3.19,-0.7980246,5.5708723,-44.445667
3.2,-0.7450602,4.9698224,-75.76448
3.21,-0.6996722,4.0555844,-107.0833
3.22,-0.6649926,2.8281584,-138.40211
3.23,-0.64415306,1.2875446,-169.72093
3.24,-0.6402857,-0.56625694,-201.03975
3.25,-0.65652215,-2.7332463,-232.35855
3.26,-0.6959753,-5.1896915,-244.0984
3.27,-0.75925297,-7.38345,-194.6537
3.28,-0.841996,-9.082762,-145.20901
3.29,-0.9392599,-10.287627,-95.76432
3.3,-1.0461003,-10.998047,-46.31963
3.31,-1.1575725,-11.214019,3.1250646
3.32,-1.2687322,-10.935545,52.569756
3.33,-1.374635,-10.162625,102.01445
3.34,-1.4703364,-8.895258,151.45914
3.35,-1.5508919,-7.1334453,200.90384
3.36,-1.6113605,-4.884844,239.51677
3.37,-1.6486858,-2.6254628,212.35983
3.38,-1.6647751,-0.63760686,185.20227
3.39,-1.6623437,1.0786295,158.04533
3.4,-1.6441078,2.5232968,130.88841
3.41,-1.6127831,3.6963952,103.731476
3.42,-1.5710852,4.597924,76.57455
3.43,-1.52173,5.227885,49.41762
3.44,-1.4674329,5.586276,22.26069
3.45,-1.4109098,5.673098,-4.896238
3.46,-1.3548763,5.4885435,-31.101496
3.47,-1.301606,5.159502,-34.706818
3.48,-1.2518065,4.794408,-38.312138
3.49,-1.2058381,4.39326,-41.91746
3.5,-1.1640615,3.9560595,-45.52278
3.51,-1.1268371,3.4828055,-49.1281
3.52,-1.0945257,2.9734983,-52.733425
3.53,-1.0674875,2.428138,-56.338745
3.54,-1.0460831,1.8467244,-59.94407
3.55,-1.0306731,1.2292577,-63.54939
3.56,-1.0216181,0.57573783,-67.15471
3.57,-1.0189964,-0.02371294,-51.57258
3.58,-1.0215318,-0.45533752,-34.75242
3.59,-1.0275425,-0.71876067,-17.932262
3.6,-1.0353464,-0.8139824,-1.1121035
3.61,-1.0432614,-0.74100274,15.708055
3.62,-1.0496057,-0.4998216,32.528214
3.63,-1.0526972,-0.090427324,49.34877
3.64,-1.0508537,0.48716062,66.16893
3.65,-1.0423933,1.23295,82.98909
